Portugal,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,China,,15.1433431157,27.430833024,27.5409653862,27.7950310559,34.4401673759,37.969132136,4.04532888171,4.20710713023,18.2307985969,31.8149202756,48.5096207966,31.6603335444
,,,,"Hong Kong, China",,3.01315777878,1.19027394129,1.43350434346,,,,,,,5.29135171321,,
,,,,"Korea, Republic of",,,,39.1529820679,46.3114307508,12.9767021009,9.21900537468,39.7466811521,,18.7278057494,,35.0181210754,52.2495777919
,,,,"Macao, China",,281.115546978,288.374536737,324.141223543,,,,,,,516.721873994,,
,,,,Taiwan Province of China,,170.712705673,143.686514354,159.51935294,,,,,,,0.975425947132,,
,,,South-East Asia,,,1.11836713111,6.06672665228,7.72197846333,,,,,,,52.0316251799,,
,,,,Indonesia,,,,,,,,,,,1.52326791744,,
,,,,Malaysia,,0.650397906036,0.68689817757,0.511514765726,,,,,,,1.73705990585,,
,,,,Singapore,,,,,,,,,,,6.41375965237,,
,,,,Thailand,,,,,,,,,,,1.53662991671,,
,,,South Asia,,,1.30872749385,1.59507195127,1.92102212017,0.813174239948,0.809274331022,1.63834895516,9.21239743148,15.3782777999,20.4954224921,20.884804868,25.950466904,30.1852438252
,,,,India,,,0.597758719412,0.719909670281,0.813174239948,0.809274331022,1.63834895516,9.21239743148,15.3782777999,20.4954224921,19.5218809419,25.950466904,30.1852438252
,,,,"Iran, Islamic Republic of",,0.794930774044,0.945926955982,1.13922547823,,,,,,,1.20257993482,,
,,,West Asia,,,1.04345680318,42.2038629895,41.7699168694,23.575242454,131.409163675,182.138572187,687.934085282,335.835144862,308.540599722,145.485448115,22.340484721,37.9723453663
,,,,Lebanon,,,20.8764611006,20.6487775429,,,,,,,33.8593061648,,
,,,,Saudi Arabia,,,,,,,,,,1.44060044226,1.22930393337,,
,,,,Turkey,,,,,,92.9285231451,149.714013283,604.024425072,275.992072881,258.119584243,114.405437799,114.140132004,106.322567026
,,,,United Arab Emirates,,,,,,,,,,,-4.02196178201,,
,,Latin America and the Caribbean,,,,8445.12950674,4043.18439703,10169.3164395,11543.4006211,11061.5768109,14104.3472878,18125.8880439,17441.3440476,18212.3214556,14008.4928867,10486.8779088,9672.89423686
,,,South America,,,6757.02791071,2056.2428033,2969.02241319,3263.77765065,2519.15420215,2515.81388672,3219.32954709,1692.39965152,4146.30017791,5195.17204242,5786.37057049,5122.85861305
,,,,Argentina,,84.6310446025,36.2168374998,53.1710126477,45.268061458,43.2135976963,17.3198770975,16.2563925912,19.8999089829,19.149901679,34.4205101344,35.9717256879,18.3370276546
,,,,Brazil,,6625.78413487,1986.32705582,2878.41736068,3191.34793506,2450.18892899,2448.69162559,3097.35287104,1576.30409187,3925.43884291,5134.16115373,5625.80399738,4910.10001056
,,,,Chile,,13.866342349,18.5714195826,20.7460284983,,,,,,,15.4331091635,,
,,,,Colombia,,,,,,,,,,,3.11334583126,,
,,,,Paraguay,,,,,,,,,,,1.30947592903,,
