United Kingdom,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,Latin America and the Caribbean,,,,23654.5727484,36115.6241477,32993.7642553,48839.3248596,49112.0164476,83853.5287012,95890.8226168,80818.9922226,49608.4861735,49930.0221988,58400.8076823,73968.6988079
,,,South America,,,8909.80687925,9409.69401571,12287.6652187,15314.074695,12339.1315428,8582.24190458,10547.9103518,12160.9703119,11017.4500992,14873.805133,23649.1344163,20386.1678928
,,,,Brazil,,4316.39024461,3304.19197194,4518.86250308,7574.95282554,5544.51626678,5543.51581394,7446.64440219,9478.61771373,7452.93331714,10084.9439708,21820.0989813,18023.9035275
,,,,Chile,,2748.50790105,3281.62675847,3424.84089392,4119.6773016,4845.42508532,1105.16976036,879.493379759,466.496104029,366.00672092,792.142447877,1150.29785602,1252.93113297
,,,,Colombia,,1844.90873358,2823.87528529,4343.96182168,3619.44456784,1949.19019068,1933.55633029,2221.77256982,2215.85649414,3198.51006114,3996.71871429,678.737579025,1109.33323234
,,,Central America,,,1582.38634303,2337.11140479,2826.96611567,5008.12153917,5210.46777121,4587.53416622,7821.28053435,5417.18600803,4325.68120167,5120.74693084,8200.51052198,6913.21322606
,,,,Mexico,,1286.50475369,2337.11139479,2553.90688859,4753.176671,4924.63246056,4587.53415622,7594.89613363,5172.27555342,4030.93242641,4834.26063052,7741.31903913,6913.21321606
,,,,Panama,,295.881589348,..,273.059227082,254.944868172,285.835310648,..,226.384400712,244.910454615,294.748775254,286.486300319,459.191482848,..
,,Oceania,,,,329.240788147,309.465784689,255.212218776,1628.17063537,1534.21242041,335.673230943,200.340177622,1933.04323107,2094.01190332,162.81188652,493.205666763,703.787512979
